                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    130,                0.52389,                0.30614,                0.84813,                0.99941,                      1,                  0.995,                0.87237,                0.51314,                0.25733,                0.83393,             0.00095736,             0.00095736,             0.00095736
                    131,                0.53322,                0.29807,                0.84006,                 0.9994,                      1,                  0.995,                0.87311,                0.49951,                0.25839,                0.82746,             0.00095186,             0.00095186,             0.00095186
                    132,                0.51507,                0.29943,                0.83679,                0.99939,                      1,                  0.995,                0.87388,                0.50404,                0.25431,                0.83386,             0.00094636,             0.00094636,             0.00094636
                    133,                0.52781,                0.30045,                0.84815,                0.99953,                      1,                  0.995,                0.86749,                0.51011,                0.27511,                0.83092,             0.00094085,             0.00094085,             0.00094085
                    134,                0.50874,                0.29954,                 0.8435,                0.99939,                      1,                  0.995,                0.87483,                0.50868,                0.25456,                 0.8322,             0.00093535,             0.00093535,             0.00093535
                    135,                0.51521,                0.29693,                0.84102,                0.99946,                      1,                  0.995,                0.86894,                0.49782,                0.25663,                0.83032,             0.00092985,             0.00092985,             0.00092985
                    136,                0.51489,                0.29703,                0.84394,                0.99923,                      1,                  0.995,                0.86764,                0.51159,                0.26171,                0.83296,             0.00092435,             0.00092435,             0.00092435
                    137,                0.49367,                 0.2856,                 0.8358,                0.99945,                      1,                  0.995,                0.86159,                0.51303,                0.26658,                0.83261,             0.00091885,             0.00091885,             0.00091885
                    138,                0.50219,                0.29276,                0.83593,                 0.9994,                      1,                  0.995,                0.86164,                0.53532,                0.27085,                0.83416,             0.00091335,             0.00091335,             0.00091335
                    139,                0.52755,                0.30015,                0.84059,                0.99952,                      1,                  0.995,                0.87788,                0.49307,                0.25876,                0.82318,             0.00090785,             0.00090785,             0.00090785
                    140,                0.52526,                0.29403,                0.83738,                0.99953,                      1,                  0.995,                0.86848,                0.51984,                0.25719,                0.83993,             0.00090235,             0.00090235,             0.00090235
                    141,                0.50191,                0.29271,                0.82828,                0.99957,                      1,                  0.995,                0.87769,                0.51311,                0.24729,                0.83189,             0.00089685,             0.00089685,             0.00089685
                    142,                0.51959,                0.29894,                0.84224,                 0.9996,                      1,                  0.995,                0.88495,                0.48371,                0.26056,                0.82062,             0.00089134,             0.00089134,             0.00089134
                    143,                0.51594,                0.30678,                0.84741,                0.99945,                      1,                  0.995,                0.87454,                0.50991,                0.25874,                0.82801,             0.00088584,             0.00088584,             0.00088584
                    144,                 0.5153,                0.30525,                0.84058,                0.99942,                      1,                  0.995,                0.86974,                0.50902,                0.26353,                 0.8323,             0.00088034,             0.00088034,             0.00088034
                    145,                0.50674,                 0.2866,                0.84468,                0.99949,                      1,                  0.995,                0.87704,                0.50559,                0.24822,                0.83161,             0.00087484,             0.00087484,             0.00087484
                    146,                0.50411,                0.29188,                0.84235,                 0.9996,                      1,                  0.995,                0.87449,                 0.5098,                 0.2487,                0.82922,             0.00086934,             0.00086934,             0.00086934
                    147,                0.49648,                0.28372,                0.84236,                 0.9995,                      1,                  0.995,                0.86861,                0.54126,                0.25917,                0.83619,             0.00086384,             0.00086384,             0.00086384
                    148,                0.49554,                0.29267,                0.84107,                0.99944,                      1,                  0.995,                 0.8827,                0.48594,                0.24014,                0.82396,             0.00085834,             0.00085834,             0.00085834
                    149,                0.51177,                0.29461,                0.84489,                0.99943,                      1,                  0.995,                 0.8759,                0.51152,                0.24835,                0.83198,             0.00085284,             0.00085284,             0.00085284
                    150,                0.49555,                0.28701,                0.83273,                0.99951,                      1,                  0.995,                 0.8752,                0.53222,                0.25401,                0.83306,             0.00084734,             0.00084734,             0.00084734
                    151,                0.49736,                0.28769,                0.84332,                0.99944,                      1,                  0.995,                0.87992,                0.50301,                0.24716,                 0.8286,             0.00084184,             0.00084184,             0.00084184
                    152,                0.48983,                0.28784,                0.83701,                0.99955,                      1,                  0.995,                0.88486,                0.48009,                 0.2589,                0.82173,             0.00083633,             0.00083633,             0.00083633
                    153,                 0.4897,                0.28754,                0.85057,                0.99952,                      1,                  0.995,                0.87786,                0.48131,                0.24795,                0.82199,             0.00083083,             0.00083083,             0.00083083
                    154,                0.49585,                0.28469,                0.83774,                0.99942,                      1,                  0.995,                0.87198,                 0.5149,                0.24251,                0.83167,             0.00082533,             0.00082533,             0.00082533
                    155,                0.49974,                0.27996,                0.84035,                0.99959,                      1,                  0.995,                0.87187,                0.50678,                0.25526,                0.83064,             0.00081983,             0.00081983,             0.00081983
                    156,                0.49263,                0.28093,                0.84109,                0.99951,                      1,                  0.995,                0.88085,                0.50373,                0.23528,                0.83143,             0.00081433,             0.00081433,             0.00081433
                    157,                0.48897,                0.28132,                0.84307,                0.99944,                      1,                  0.995,                0.88424,                0.49154,                0.22992,                0.83249,             0.00080883,             0.00080883,             0.00080883
                    158,                0.49375,                0.27949,                0.85045,                0.99946,                      1,                  0.995,                0.88171,                0.49223,                0.23732,                0.82735,             0.00080333,             0.00080333,             0.00080333
                    159,                0.50087,                0.28258,                0.84598,                0.99953,                      1,                  0.995,                0.88531,                0.49511,                0.25439,                0.82696,             0.00079783,             0.00079783,             0.00079783
                    160,                0.49031,                0.29045,                0.83355,                0.99947,                      1,                  0.995,                0.88479,                0.50134,                0.25783,                0.83003,             0.00079233,             0.00079233,             0.00079233
                    161,                0.50021,                0.29138,                0.83905,                0.99952,                      1,                  0.995,                0.88344,                0.49578,                0.25117,                0.82922,             0.00078682,             0.00078682,             0.00078682
                    162,                0.49793,                0.28835,                0.84458,                0.99932,                      1,                  0.995,                0.88726,                0.48688,                0.24308,                0.82655,             0.00078132,             0.00078132,             0.00078132
